7clock 0.1.0-1
texlive-latex 2024.2-3
texlive-latexextra 2024.2-3
texlive-latexrecommended 2024.2-3
texlive-luatex 2024.2-3
texlive-mathscience 2024.2-3
texlive-metapost 2024.2-3
texlive-music 2024.2-3
texlive-pictures 2024.2-3
texlive-plaingeneric 2024.2-3
texlive-pstricks 2024.2-3
texlive-publishers 2024.2-3
texlive-xetex 2024.2-3
thunar 4.18.11-3
thunar-archive-plugin 0.5.2-3
thunar-media-tags-plugin 0.4.0-4
thunar-volman 4.18.0-4
times-newer-roman 1-1
torbrowser-launcher 0.3.7-2
traceroute 2.1.5-1
ttf-0xproto-nerd 3.2.1-2
ttf-3270-nerd 3.2.1-2
ttf-agave-nerd 3.2.1-2
ttf-anonymouspro-nerd 3.2.1-2
ttf-arimo-nerd 3.2.1-2
ttf-bigblueterminal-nerd 3.2.1-2
ttf-bitstream-vera-mono-nerd 3.2.1-2
ttf-cascadia-code-nerd 3.2.1-2
ttf-cascadia-mono-nerd 3.2.1-2
ttf-cousine-nerd 3.2.1-2
ttf-d2coding-nerd 3.2.1-2
ttf-daddytime-mono-nerd 3.2.1-2
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-dejavu-nerd 3.2.1-2
ttf-envycoder-nerd 3.2.1-2
ttf-fantasque-nerd 3.2.1-2
ttf-fantasque-sans-mono 1.8.0-3
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.2.1-2
ttf-go-nerd 3.2.1-2
ttf-gohu-nerd 3.2.1-2
ttf-hack-nerd 3.2.1-2
ttf-heavydata-nerd 3.2.1-2
ttf-iawriter-nerd 3.2.1-2
ttf-ibmplex-mono-nerd 3.2.1-2
ttf-inconsolata-go-nerd 3.2.1-2
ttf-inconsolata-lgc-nerd 3.2.1-2
ttf-inconsolata-nerd 3.2.1-2
ttf-intone-nerd 3.2.1-2
ttf-iosevka-nerd 3.2.1-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-iosevkatermslab-nerd 3.2.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-lekton-nerd 3.2.1-2
ttf-liberation 2.1.5-2
ttf-liberation-mono-nerd 3.2.1-2
ttf-lilex-nerd 3.2.1-2
ttf-martian-mono-nerd 3.2.1-2
ttf-meslo-nerd 3.2.1-2
ttf-monofur-nerd 3.2.1-2
ttf-monoid-nerd 3.2.1-2
ttf-mononoki-nerd 3.2.1-2
ttf-mplus-nerd 3.2.1-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-opensans 1.101-3
ttf-profont-nerd 3.2.1-2
ttf-proggyclean-nerd 3.2.1-2
ttf-recursive-nerd 3.2.1-2
ttf-roboto-mono-nerd 3.2.1-2
ttf-sharetech-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-space-mono-nerd 3.2.1-2
ttf-terminus-nerd 3.2.1-2
ttf-tinos-nerd 3.2.1-2
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
ttf-victor-mono-nerd 3.2.1-2
ttf-zed-mono-nerd 3.2.1-2
tumbler 4.18.2-3
ufw 0.36.2-4
ugrep 7.0.4-1
unace 2.5-11
unarchiver 1.10.8-3
unarj 2.65-1
unrar 1:7.1.1-1
unzip 6.0-21
update-grub 0.0.1-8
usbutils 018-1
util-linux 2.40.2-1
v4l2loopback-dc-dkms 1:2.1.3-2.1
v4l2loopback-utils 0.13.2-1
valgrind 3.24.0-1
vi 1:070224-6
vim 9.1.0866-1
virtualbox-meta 2-3
visual-studio-code-bin 1.95.3-1
vlc 3.0.21-9
vulkan-extra-layers 1.3.250.0-1
vulkan-extra-tools 1.3.250.0-1
vulkan-html-docs 1:1.3.279-1
vulkan-utility-libraries 1.3.295-1
w3m 0.5.3.git20230713_1-1
waybar 0.11.0-4
waybar-module-pacman-updates-git 0.2.7-1
wayland 1.23.1-1
wayland-protocols 1.38-1
wdisplays 1.1.1-1
webcord 4.10.2-1
webtorrent-cli 5.1.2-1
webtorrent-desktop-bin 0.24.0-1
wev 1.0.0-13
wget 1.25.0-1
which 2.21-6
whois 5.5.23-1
wine-wow64 9.21-1
winetricks 20240105-1
wireless-regdb 2024.10.07-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wlr-randr-git 0.4.1+5+gded0ff2-1
wlroots 0.18.1-1
wlsunset 0.4.0-1
wob 0.15.1-2
wofi 1.4.1-1
wpaperd 1.0.1-3
wqy-zenhei 0.9.45-10
wtype 0.4-2
xbox-generic-controller 0.1.2-1.5
xboxdrv 0.8.13-1
xclip 0.13-5
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-hyprland 1.3.8-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xfce4-terminal 1.1.3-3
xfsprogs 6.11.0-1
xone-dkms 0.3-4
xorg-xwayland 24.1.4-1
xpadneo-dkms 0.9.6-1
xsel 1.2.1-2
xwaylandvideobridge-git 0.4.0_r248.g7d80651-1
xz 5.6.3-1
zapzap 5.3.8-1
zen-browser-avx2-bin 1.0.1.a.17-1
zim 0.75.2-5
zip 3.0-11
